Type,items/sec,ratio versus native,percentage,times slower
C for perf,176366843033.51,1,100.000000%,0
Emscripten-ified C for perf,12500000,0.000070875,0.007088%,14108.3474426808
for loop perf,10749166.6666667,6.0947775E-005,0.006095%,16406.4898550439
ES5 map perf,9922307.69230769,5.62594846153846E-005,0.005626%,17773.7806762976
Underscore map perf,9922307.69230769,5.62594846153846E-005,0.005626%,17773.7806762976
Async map perf,1183394.49541284,6.70984678899083E-006,0.000671%,149033.699516649
Queue-Flow map perf,908380.281690141,5.1505161971831E-006,0.000515%,194154.29661802
When map perf,45936.6096866097,2.60460576923077E-007,0.000026%,3839351.62608028
Q sorta-map perf,30074.609466076,1.70523035672651E-007,0.000017%,5864309.33235695
